Title,ai_exposure,JQI,JQADI,employment
Customer Service Representatives,0.7011,0.324504911523951,0.6516104940652131,2787070.0
Data Entry Keyers,0.6707,0.3410472271022948,0.6293406074559967,147170.0
Medical Records Specialists,0.6674,0.3771385989450173,0.6029214954926039,180570.0
Medical Transcriptionists,0.6365,0.4119052196294537,0.5681302173782056,55830.0
"Office Clerks, General",0.4504,0.3386623576649143,0.5540825565172097,2578180.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,0.3796493067285034,0.527544635049898,1825980.0
Reservation and Transportation Ticket Agents and Travel Clerks,0.2467,0.2708539905797632,0.5261446537307379,100860.0
Retail Salespersons,0.3222,0.3191027710608222,0.5219961004381372,3693490.0
Receptionists and Information Clerks,0.4338,0.3825415512470119,0.5191030905121498,983150.0
Chemical Technicians,0.3148,0.3254371761094193,0.5152905508784615,57690.0
Fiberglass Laminators and Fabricators,0.0,0.1529527974094442,0.5082283215543334,17380.0
Medical Secretaries and Administrative Assistants,0.3623,0.3659065184421138,0.505490899189995,656640.0
"Roof Bolters, Mining",0.0,0.1600792400432713,0.5039524559740372,1850.0
Tire Builders,0.0,0.1656082160221507,0.5006350703867095,17240.0
"Switchboard Operators, Including Answering Service",0.3863,0.3870068723663123,0.4998907633609466,48190.0
